user_id,1-07h,1-08h,1-09h,1-10h,1-11h,1-12h,1-13h,1-14h,1-15h,1-16h,1-17h,1-18h,1-19h,1-20h,1-21h,1-22h,1-23h,2-07h,2-08h,2-09h,2-10h,2-11h,2-12h,2-13h,2-14h,2-15h,2-16h,2-17h,2-18h,2-19h,2-20h,2-21h,2-22h,2-23h,3-07h,3-08h,3-09h,3-10h,3-11h,3-12h,3-13h,3-14h,3-15h,3-16h,3-17h,3-18h,3-19h,3-20h,3-21h,3-22h,3-23h,4-07h,4-08h,4-09h,4-10h,4-11h,4-12h,4-13h,4-14h,4-15h,4-16h,4-17h,4-18h,4-19h,4-20h,4-21h,4-22h,4-23h,5-07h,5-08h,5-09h,5-10h,5-11h,5-12h,5-13h,5-14h,5-15h,5-16h,5-17h,5-18h,5-19h,5-20h,5-21h,5-22h,5-23h
1,1240.0,4270.0,0.0,950.0,3890.0,3470.0,1470.0,6160.0,0.0,10820.0,2030.0,0.0,7060.0,17380.0,1540.0,0.0,4800.0,0.0,0.0,0.0,2360.0,460.0,6640.0,0.0,0.0,840.0,15970.0,1250.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17790.0,0.0,0.0,17840.0,0.0,1490.0,16290.0,42470.0,0.0,0.0,0.0,0.0,10800.0,0.0,9800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80520.0,81230.0,33760.0,17350.0,5770.0,1390.0,5020.0,2770.0,610.0,2330.0,1330.0,3270.0,20880.0,930.0,32330.0,210.0,0.0
2,3880.0,4670.0,5970.0,1300.0,0.0,5440.0,7080.0,3810.0,2260.0,1690.0,1460.0,590.0,1960.0,680.0,8090.0,2190.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,0.0,0.0,0.0,0.0,0.0,4160.0,0.0,0.0,870.0,0.0,0.0,11780.0,0.0,0.0,0.0,46100.0,25980.0,0.0,0.0,1490.0,6070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106360.0,1040.0,0.0,0.0,0.0,15570.0,27860.0,235120.0,0.0,11220.0,0.0,0.0,26390.0,10430.0,3600.0,0.0,0.0
3,5220.0,750.0,2320.0,2270.0,0.0,950.0,1070.0,1830.0,1580.0,1260.0,4650.0,1670.0,1880.0,1040.0,4100.0,9330.0,4380.0,4880.0,4390.0,0.0,76870.0,0.0,9650.0,12130.0,0.0,0.0,0.0,11690.0,0.0,9300.0,0.0,4300.0,13020.0,0.0,51080.0,0.0,22600.0,0.0,12840.0,0.0,0.0,16850.0,0.0,0.0,0.0,52090.0,0.0,31050.0,9610.0,0.0,0.0,0.0,0.0,72280.0,4610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3510.0,2790.0,94970.0,3360.0,0.0,206150.0,0.0,0.0,24660.0,2570.0,1110.0,5220.0,8830.0,74250.0,5660.0,50870.0,165250.0
4,0.0,5930.0,2620.0,1220.0,2950.0,4440.0,610.0,1030.0,5830.0,5830.0,14850.0,3740.0,2090.0,2440.0,0.0,4710.0,23280.0,9560.0,0.0,16110.0,2180.0,11840.0,2900.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,12320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15210.0,66670.0,0.0,338870.0,3940.0,0.0,3100.0,1010.0,25530.0,0.0,37040.0,195710.0,24450.0,0.0,9730.0,0.0,0.0
5,9370.0,0.0,1940.0,1450.0,2650.0,0.0,0.0,4480.0,2830.0,1930.0,580.0,11070.0,880.0,19920.0,2110.0,480.0,520.0,0.0,0.0,0.0,0.0,13400.0,1080.0,0.0,0.0,4640.0,0.0,19620.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,58850.0,0.0,0.0,0.0,16730.0,0.0,8870.0,0.0,0.0,0.0,0.0,0.0,1390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1930.0,0.0,11650.0,16620.0,27040.0,47760.0,0.0,880.0,0.0,103020.0,0.0,1660.0,8210.0,1820.0
6,0.0,6490.0,1840.0,26430.0,28760.0,1370.0,2560.0,22990.0,4040.0,13910.0,37130.0,19730.0,2040.0,6540.0,32500.0,9080.0,2560.0,0.0,71740.0,0.0,0.0,17610.0,0.0,12770.0,9950.0,0.0,19290.0,0.0,0.0,0.0,0.0,106090.0,0.0,0.0,37350.0,19070.0,19960.0,37920.0,0.0,0.0,0.0,0.0,0.0,8240.0,19340.0,0.0,0.0,0.0,61950.0,58370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51260.0,3360.0,8080.0,19950.0,2140.0,171090.0,2250.0,0.0,42360.0,40780.0,8920.0,27990.0,2930.0,51810.0,10910.0,30020.0,378770.0
7,2990.0,4300.0,540.0,1460.0,2610.0,7000.0,2450.0,7620.0,2260.0,3810.0,5810.0,0.0,0.0,1900.0,32810.0,0.0,1170.0,0.0,0.0,0.0,0.0,0.0,19800.0,0.0,0.0,0.0,11690.0,3060.0,0.0,0.0,0.0,0.0,0.0,7930.0,0.0,2640.0,21170.0,0.0,83790.0,0.0,0.0,0.0,0.0,0.0,0.0,19990.0,0.0,12780.0,0.0,0.0,56560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35480.0,0.0,0.0,0.0,0.0,0.0,30620.0,11930.0,160.0,0.0,1190.0,3860.0,0.0,23490.0,0.0,2790.0,56780.0,4480.0,2120.0,3990.0,2750.0,0.0,0.0
8,9850.0,0.0,54310.0,1200.0,1820.0,0.0,2810.0,3800.0,950.0,0.0,650.0,16300.0,6820.0,5100.0,260.0,0.0,1680.0,1430.0,12350.0,7220.0,0.0,0.0,4320.0,0.0,0.0,0.0,1180.0,0.0,0.0,0.0,0.0,10060.0,0.0,0.0,0.0,25420.0,0.0,0.0,0.0,40870.0,0.0,54020.0,0.0,0.0,28640.0,0.0,20540.0,0.0,0.0,6290.0,23740.0,0.0,0.0,0.0,0.0,0.0,3780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,19180.0,87130.0,0.0,1030.0,44680.0,0.0,1240.0,0.0,0.0,53080.0,17130.0,1340.0,11020.0,9700.0,710.0
9,9800.0,7590.0,10870.0,3360.0,13020.0,17970.0,3740.0,6290.0,13530.0,10410.0,100370.0,2300.0,0.0,2690.0,17260.0,4170.0,18740.0,0.0,0.0,35510.0,0.0,0.0,27520.0,0.0,0.0,0.0,24500.0,0.0,13710.0,5920.0,0.0,0.0,0.0,0.0,82580.0,0.0,0.0,0.0,0.0,12440.0,0.0,149370.0,117140.0,68550.0,0.0,0.0,68530.0,0.0,34260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9140.0,0.0,0.0,0.0,0.0,0.0,0.0,1630.0,1250.0,409990.0,0.0,9600.0,39750.0,328960.0,12980.0,241170.0,94940.0,3330.0,413090.0,100410.0,560.0,474770.0,397100.0,7920.0
10,1710.0,3770.0,0.0,0.0,5080.0,2030.0,2070.0,0.0,13560.0,0.0,1620.0,0.0,0.0,10080.0,3130.0,0.0,0.0,0.0,10040.0,1810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15100.0,0.0,0.0,0.0,1120.0,0.0,5340.0,0.0,11790.0,0.0,0.0,8890.0,0.0,19020.0,13530.0,0.0,0.0,0.0,51990.0,0.0,0.0,33770.0,0.0,0.0,48450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,10910.0,37420.0,33740.0,0.0,11730.0,0.0,8320.0,0.0,1590.0,0.0,0.0,35200.0,3230.0,1200.0
