user_id,1-Fri,1-Mon,1-Sat,1-Sun,1-Thu,1-Tue,1-Wed,2-Fri,2-Mon,2-Sat,2-Sun,2-Thu,2-Tue,2-Wed,3-Fri,3-Mon,3-Sat,3-Sun,3-Thu,3-Tue,3-Wed,4-Fri,4-Mon,4-Sat,4-Sun,4-Thu,4-Tue,4-Wed,5-Fri,5-Mon,5-Sat,5-Sun,5-Thu,5-Tue,5-Wed
1,3220.0,7220.0,4080.0,4900.0,5020.0,19400.0,21240.0,0.0,17050.0,2360.0,0.0,2090.0,1560.0,5560.0,0.0,9150.0,0.0,61910.0,17840.0,17780.0,9800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,4140.0,60880.0,40620.0,3590.0,172560.0,7370.0
2,12590.0,6020.0,4480.0,12070.0,8080.0,710.0,9720.0,0.0,870.0,0.0,0.0,4160.0,0.0,1040.0,0.0,0.0,6070.0,7380.0,11780.0,39890.0,26300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236670.0,104810.0,50740.0,17540.0,0.0,27830.0
3,7610.0,2590.0,11910.0,2850.0,9970.0,5010.0,4360.0,9650.0,4110.0,14310.0,76870.0,4880.0,36410.0,0.0,57540.0,39000.0,9610.0,46640.0,0.0,20730.0,22600.0,0.0,4610.0,0.0,0.0,0.0,0.0,72280.0,84660.0,183650.0,52620.0,70720.0,10790.0,103790.0,142970.0
4,28460.0,15920.0,3050.0,5740.0,6070.0,15560.0,6770.0,0.0,2900.0,0.0,0.0,28250.0,0.0,24160.0,0.0,0.0,35080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23910.0,9270.0,555100.0,15210.0,6340.0,65730.0,45700.0
5,5120.0,8140.0,1420.0,500.0,11570.0,17440.0,16020.0,0.0,19620.0,0.0,0.0,4640.0,16400.0,1080.0,0.0,8870.0,1390.0,0.0,0.0,0.0,75580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37950.0,47760.0,27040.0,3750.0,17570.0,86520.0
6,31570.0,3450.0,36500.0,63230.0,14280.0,49430.0,19510.0,84510.0,17610.0,820.0,106090.0,9130.0,0.0,19290.0,76380.0,16570.0,61950.0,48930.0,0.0,58370.0,0.0,0.0,8910.0,0.0,0.0,0.0,0.0,0.0,27960.0,448530.0,107210.0,57790.0,28470.0,64690.0,117970.0
7,10460.0,32870.0,11330.0,6270.0,920.0,11920.0,2960.0,3060.0,0.0,0.0,0.0,0.0,19620.0,19800.0,2640.0,0.0,19990.0,56560.0,12780.0,104960.0,0.0,0.0,35480.0,0.0,0.0,0.0,0.0,0.0,32740.0,56780.0,18020.0,5730.0,23780.0,3990.0,3120.0
8,10720.0,4330.0,18910.0,0.0,63690.0,6650.0,1250.0,4320.0,11240.0,12350.0,1430.0,0.0,0.0,7220.0,20540.0,66960.0,34260.0,54020.0,23740.0,0.0,0.0,0.0,0.0,0.0,3780.0,0.0,0.0,0.0,1950.0,85980.0,19080.0,4440.0,970.0,11020.0,123360.0
9,13400.0,138640.0,11700.0,24120.0,35340.0,11830.0,7080.0,33820.0,19740.0,23180.0,0.0,24500.0,0.0,5920.0,0.0,207770.0,0.0,72920.0,53670.0,68550.0,129960.0,0.0,0.0,0.0,0.0,0.0,0.0,9140.0,122370.0,426710.0,248410.0,1143640.0,47910.0,315090.0,233320.0
10,2650.0,990.0,0.0,7000.0,16610.0,8700.0,7100.0,1400.0,0.0,2930.0,20440.0,0.0,0.0,8640.0,27260.0,18930.0,8890.0,32550.0,33770.0,17590.0,0.0,0.0,0.0,0.0,0.0,0.0,48450.0,0.0,0.0,17200.0,0.0,22290.0,2260.0,67420.0,35220.0
11,2130.0,5670.0,4610.0,5970.0,13830.0,210.0,1560.0,0.0,3190.0,7270.0,70770.0,0.0,0.0,0.0,0.0,0.0,25330.0,42400.0,0.0,41990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48810.0,102070.0,119310.0,26560.0,4300.0,93820.0,27060.0
12,15750.0,18010.0,5840.0,11460.0,7340.0,13120.0,9650.0,4860.0,9980.0,0.0,15000.0,2970.0,0.0,0.0,82490.0,21570.0,72250.0,44400.0,0.0,42820.0,46750.0,0.0,0.0,0.0,0.0,25460.0,79070.0,0.0,16670.0,10270.0,3420.0,292180.0,288590.0,23140.0,418080.0
13,24810.0,10270.0,13640.0,9960.0,50330.0,49540.0,3440.0,0.0,21940.0,35060.0,20950.0,0.0,0.0,990.0,67850.0,62500.0,161630.0,50700.0,0.0,13680.0,303030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63340.0,179320.0,185200.0,146650.0,3220.0,19820.0,498530.0
14,5710.0,11460.0,12270.0,11620.0,2410.0,5980.0,27040.0,0.0,2590.0,9620.0,0.0,1950.0,0.0,8860.0,29280.0,5840.0,22220.0,1390.0,0.0,28780.0,37430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,0.0,48580.0,278780.0,80740.0,46600.0,8760.0
15,1540.0,6060.0,4550.0,4140.0,1130.0,2280.0,5570.0,2930.0,0.0,0.0,6820.0,10930.0,0.0,3970.0,0.0,18980.0,0.0,81500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.0,0.0,1240.0,122980.0,41010.0,13010.0,1660.0,0.0
16,5620.0,8230.0,870.0,880.0,6230.0,19630.0,23460.0,1920.0,0.0,7740.0,0.0,1370.0,35400.0,0.0,32060.0,0.0,0.0,11200.0,13680.0,27260.0,140060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93670.0,0.0,14720.0,71020.0,9370.0,67320.0,44110.0
17,20030.0,12420.0,9990.0,7900.0,8870.0,2150.0,28670.0,0.0,6980.0,3310.0,0.0,0.0,0.0,45770.0,0.0,48780.0,0.0,41860.0,0.0,45200.0,0.0,0.0,0.0,0.0,0.0,0.0,2740.0,0.0,62510.0,60650.0,100070.0,4460.0,231930.0,303840.0,1750.0
18,11020.0,26070.0,4060.0,24890.0,4030.0,16180.0,21160.0,6740.0,10290.0,0.0,1050.0,19510.0,8410.0,0.0,68030.0,0.0,0.0,32620.0,98470.0,0.0,94380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,78950.0,5510.0,4820.0,1520.0,110740.0,1070.0
19,8190.0,15210.0,2620.0,6560.0,8090.0,16010.0,15610.0,0.0,12740.0,79650.0,0.0,4350.0,0.0,740.0,23950.0,3460.0,32460.0,1170.0,0.0,13430.0,24950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1290.0,46820.0,139290.0,89350.0,98040.0,145010.0,251200.0
